IUCN Category,Species,Country,Unit,PowerCode,Value
Total number of threatened species,Reptiles,Canada,Number,Units,26
Number of endangered indigenous species,Reptiles,Canada,Number,Units,6
Number of vulnerable indigenous species,Reptiles,Canada,Number,Units,15
Total number of known species,Reptiles,Czech Republic,Number,Units,13
Total number of indigenous known species,Reptiles,Czech Republic,Number,Units,11
Number of endangered species,Reptiles,Czech Republic,Number,Units,3
Number of critically endangered species,Reptiles,Czech Republic,Number,Units,3
Number of vulnerable species,Reptiles,Czech Republic,Number,Units,1
Total number of threatened species,Reptiles,Czech Republic,Number,Units,7
Total number of known species,Reptiles,Denmark,Number,Units,8
Total number of indigenous known species,Reptiles,Denmark,Number,Units,8
Total number of known species,Reptiles,Finland,Number,Units,5
Total number of indigenous known species,Reptiles,Finland,Number,Units,5
Number of vulnerable species,Reptiles,Finland,Number,Units,1
Total number of threatened species,Reptiles,Finland,Number,Units,1
Number of vulnerable indigenous species,Reptiles,Finland,Number,Units,1
Total number of known species,Reptiles,France,Number,Units,38
Number of endangered species,Reptiles,France,Number,Units,3
Number of critically endangered species,Reptiles,France,Number,Units,0
Number of vulnerable species,Reptiles,France,Number,Units,6
Total number of threatened species,Reptiles,France,Number,Units,9
Total number of known species,Reptiles,Germany,Number,Units,13
Total number of indigenous known species,Reptiles,Germany,Number,Units,13
Number of endangered species,Reptiles,Germany,Number,Units,3
Number of critically endangered species,Reptiles,Germany,Number,Units,4
Number of vulnerable species,Reptiles,Germany,Number,Units,1
Total number of threatened species,Reptiles,Germany,Number,Units,8
Number of endangered indigenous species,Reptiles,Germany,Number,Units,3
Number of critically endangered indigenous species,Reptiles,Germany,Number,Units,4
Number of vulnerable indigenous species,Reptiles,Germany,Number,Units,1
Total number of known species,Reptiles,Greece,Number,Units,66
Total number of indigenous known species,Reptiles,Greece,Number,Units,64
Number of endangered species,Reptiles,Greece,Number,Units,2
Number of critically endangered species,Reptiles,Greece,Number,Units,1
Number of vulnerable species,Reptiles,Greece,Number,Units,6
Total number of threatened species,Reptiles,Greece,Number,Units,9
Number of endangered indigenous species,Reptiles,Greece,Number,Units,2
Number of critically endangered indigenous species,Reptiles,Greece,Number,Units,1
Number of vulnerable indigenous species,Reptiles,Greece,Number,Units,6
Total number of known species,Reptiles,Hungary,Number,Units,15
Total number of indigenous known species,Reptiles,Hungary,Number,Units,15
Number of endangered species,Reptiles,Hungary,Number,Units,4
Total number of threatened species,Reptiles,Hungary,Number,Units,4
Number of endangered indigenous species,Reptiles,Hungary,Number,Units,4
Total number of known species,Reptiles,Ireland,Number,Units,3
Total number of indigenous known species,Reptiles,Ireland,Number,Units,2
Number of endangered species,Reptiles,Ireland,Number,Units,0
Total number of threatened species,Reptiles,Ireland,Number,Units,0
Number of endangered indigenous species,Reptiles,Ireland,Number,Units,0
Total number of known species,Reptiles,Italy,Number,Units,56
Number of endangered species,Reptiles,Italy,Number,Units,5
Number of critically endangered species,Reptiles,Italy,Number,Units,1
Number of vulnerable species,Reptiles,Italy,Number,Units,5
Total number of threatened species,Reptiles,Italy,Number,Units,11
Total number of known species,Reptiles,Japan,Number,Units,100
Number of endangered species,Reptiles,Japan,Number,Units,9
Number of critically endangered species,Reptiles,Japan,Number,Units,5
Number of vulnerable species,Reptiles,Japan,Number,Units,23
Total number of threatened species,Reptiles,Japan,Number,Units,37
Total number of known species,Reptiles,Korea,Number,Units,32
Number of endangered species,Reptiles,Korea,Number,Units,3
Number of vulnerable species,Reptiles,Korea,Number,Units,2
Total number of threatened species,Reptiles,Korea,Number,Units,5
Total number of known species,Reptiles,Luxembourg,Number,Units,6
Number of endangered species,Reptiles,Luxembourg,Number,Units,0
Number of critically endangered species,Reptiles,Luxembourg,Number,Units,0
Number of vulnerable species,Reptiles,Luxembourg,Number,Units,2
Total number of threatened species,Reptiles,Luxembourg,Number,Units,2
Total number of known species,Reptiles,Mexico,Number,Units,908
Total number of indigenous known species,Reptiles,Mexico,Number,Units,509
Number of endangered species,Reptiles,Mexico,Number,Units,27
Number of critically endangered species,Reptiles,Mexico,Number,Units,0
Number of vulnerable species,Reptiles,Mexico,Number,Units,138
Total number of threatened species,Reptiles,Mexico,Number,Units,165
Number of endangered indigenous species,Reptiles,Mexico,Number,Units,17
Number of critically endangered indigenous species,Reptiles,Mexico,Number,Units,0
Number of vulnerable indigenous species,Reptiles,Mexico,Number,Units,92
Total number of known species,Reptiles,Netherlands,Number,Units,7
Number of endangered species,Reptiles,Netherlands,Number,Units,0
Number of critically endangered species,Reptiles,Netherlands,Number,Units,1
Number of vulnerable species,Reptiles,Netherlands,Number,Units,4
Total number of threatened species,Reptiles,Netherlands,Number,Units,5
Total number of known species,Reptiles,New Zealand,Number,Units,107
Total number of indigenous known species,Reptiles,New Zealand,Number,Units,106
Number of endangered indigenous species,Reptiles,New Zealand,Number,Units,8
Number of critically endangered indigenous species,Reptiles,New Zealand,Number,Units,8
Number of vulnerable indigenous species,Reptiles,New Zealand,Number,Units,21
Total number of known species,Reptiles,Norway,Number,Units,6
Total number of indigenous known species,Reptiles,Norway,Number,Units,5
Total number of known species,Reptiles,Poland,Number,Units,11
Total number of indigenous known species,Reptiles,Poland,Number,Units,9
Number of endangered species,Reptiles,Poland,Number,Units,1
Number of critically endangered species,Reptiles,Poland,Number,Units,1
Number of vulnerable species,Reptiles,Poland,Number,Units,1
Total number of threatened species,Reptiles,Poland,Number,Units,3
Number of endangered indigenous species,Reptiles,Poland,Number,Units,1
Number of critically endangered indigenous species,Reptiles,Poland,Number,Units,1
Number of vulnerable indigenous species,Reptiles,Poland,Number,Units,1
Total number of known species,Reptiles,Portugal,Number,Units,49
Total number of indigenous known species,Reptiles,Portugal,Number,Units,32
Number of endangered species,Reptiles,Portugal,Number,Units,4
Number of vulnerable species,Reptiles,Portugal,Number,Units,6
Total number of threatened species,Reptiles,Portugal,Number,Units,10
Number of endangered indigenous species,Reptiles,Portugal,Number,Units,4
Number of vulnerable indigenous species,Reptiles,Portugal,Number,Units,6
Total number of known species,Reptiles,Slovak Republic,Number,Units,12
Total number of indigenous known species,Reptiles,Slovak Republic,Number,Units,12
Number of critically endangered species,Reptiles,Slovak Republic,Number,Units,1
Number of vulnerable species,Reptiles,Slovak Republic,Number,Units,4
Total number of threatened species,Reptiles,Slovak Republic,Number,Units,5
Number of critically endangered indigenous species,Reptiles,Slovak Republic,Number,Units,1
Number of vulnerable indigenous species,Reptiles,Slovak Republic,Number,Units,4
Total number of known species,Reptiles,Spain,Number,Units,92
Number of endangered species,Reptiles,Spain,Number,Units,10
Number of critically endangered species,Reptiles,Spain,Number,Units,8
Number of vulnerable species,Reptiles,Spain,Number,Units,16
Total number of threatened species,Reptiles,Spain,Number,Units,34
Number of endangered indigenous species,Reptiles,Spain,Number,Units,10
Number of critically endangered indigenous species,Reptiles,Spain,Number,Units,8
Number of vulnerable indigenous species,Reptiles,Spain,Number,Units,16
Total number of known species,Reptiles,Sweden,Number,Units,6
Total number of indigenous known species,Reptiles,Sweden,Number,Units,6
Number of vulnerable species,Reptiles,Sweden,Number,Units,2
Total number of threatened species,Reptiles,Sweden,Number,Units,2
Number of vulnerable indigenous species,Reptiles,Sweden,Number,Units,2
Total number of known species,Reptiles,Switzerland,Number,Units,19
Total number of indigenous known species,Reptiles,Switzerland,Number,Units,19
Number of endangered species,Reptiles,Switzerland,Number,Units,7
Number of critically endangered species,Reptiles,Switzerland,Number,Units,3
Number of vulnerable species,Reptiles,Switzerland,Number,Units,5
Total number of threatened species,Reptiles,Switzerland,Number,Units,15
Number of endangered indigenous species,Reptiles,Switzerland,Number,Units,7
Number of critically endangered indigenous species,Reptiles,Switzerland,Number,Units,3
Number of vulnerable indigenous species,Reptiles,Switzerland,Number,Units,5
Total number of known species,Reptiles,United Kingdom,Number,Units,15
Total number of known species,Reptiles,United States,Number,Units,345
Total number of indigenous known species,Reptiles,United States,Number,Units,301
Number of endangered species,Reptiles,United States,Number,Units,20
Number of critically endangered species,Reptiles,United States,Number,Units,8
Number of vulnerable species,Reptiles,United States,Number,Units,34
Total number of threatened species,Reptiles,United States,Number,Units,62
Number of endangered indigenous species,Reptiles,United States,Number,Units,20
