Year,Country,VAR,Variable,Unit Code,Unit,PowerCode,Value
2012,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1650.0
2013,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1626.6
2014,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1492.3
2015,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1511.0
2016,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1583.8
2017,Austria,COMPOST,Composting,TONNE,Tonnes,Thousands,1601.1
2000,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,522.0
2001,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,521.0
2002,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,530.0
2003,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,592.0
2004,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1380.0
2005,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1309.8
2006,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1429.5
2007,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1453.1
2008,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1357.0
2009,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1440.4
2010,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1636.2
2011,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1678.2
2012,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1692.9
2013,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1715.5
2014,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1755.8
2015,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1832.7
2016,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1855.4
2017,Austria,INCINERATION_WITH,Incineration with energy recovery,TONNE,Tonnes,Thousands,1943.7
2000,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,28.0
2001,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,31.0
2002,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,34.0
2003,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,39.0
2004,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2005,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2006,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2007,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2008,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2009,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2010,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2011,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
2012,Austria,OTH_RECOV,Other recovery,TONNE,Tonnes,Thousands,0.0
